FileID,FileSizeMB,FileAgeYears,AnomalyScore,DigitalWasteScore,WasteRisk,Recommendation
0c221a927f73f5e1020d,6242.41015625,4.47945205479452,0.06779307651664412,40.76399014478452,Medium,Review file usage
0c221a927f73f5e1020d,3977.08740234375,4.47945205479452,0.10205724626587581,31.866090613201933,Low,Keep active
0c221a927f73f5e1020d,1013.99609375,4.47945205479452,0.11728184809185266,27.91248606222844,Low,Keep active
0c221a927f73f5e1020d,1465.9287109375,4.47945205479452,0.10855362484996145,30.179076908116755,Low,Keep active
a25d38647c00f9cc8c5b,885.87890625,4.473972602739726,0.1417962345846006,21.546461445631735,Low,Keep active
a33f9df1de03fb42ba02,2743.28515625,4.495890410958904,0.15856403385430562,17.192111278693147,Low,Keep active
a33f9df1de03fb42ba02,421.4375,4.495890410958904,0.06530679806359319,41.40963998964271,Medium,Review file usage
a33f9df1de03fb42ba02,30.90625,4.495890410958904,0.09493348871721374,33.71602538235739,Low,Keep active
a33f9df1de03fb42ba02,884.8046875,4.495890410958904,0.1038444258010019,31.401986446521846,Low,Keep active
a33f9df1de03fb42ba02,247.96240234375,4.495890410958904,0.1000130610607417,32.39693536188109,Low,Keep active
a33f9df1de03fb42ba02,195.1015625,4.495890410958904,0.09990051312899512,32.42616239981891,Low,Keep active
a33f9df1de03fb42ba02,183.8515625,4.495890410958904,0.10072808610211831,32.21125390433235,Low,Keep active
a33f9df1de03fb42ba02,249.98828125,4.495890410958904,0.07742490822533887,38.26274550712628,Low,Keep active
a33f9df1de03fb42ba02,1395.939453125,4.495890410958904,0.10340747806128958,31.51545533010976,Low,Keep active
a33f9df1de03fb42ba02,432.50390625,4.495890410958904,0.15120357624199482,19.10351356335765,Low,Keep active
0f28e3cd96e134d67cfc,19483.5625,4.495890410958904,-0.009582673730154423,60.8573312913996,High,Move to cold storage
0f28e3cd96e134d67cfc,1893.197265625,4.495890410958904,0.1251317627804328,25.873978993717103,Low,Keep active
0f28e3cd96e134d67cfc,13716.5390625,4.495890410958904,0.03402667265006776,49.532627218046045,Medium,Review file usage
0f28e3cd96e134d67cfc,63.89453125,4.495890410958904,0.07402188992525138,39.14645916952999,Low,Keep active
0aa7440a3b220165d558,3056.6796875,4.49041095890411,0.12496829192630066,25.916429963551053,Low,Keep active
0aa7440a3b220165d558,3319.71875,4.49041095890411,0.12580567813966825,25.698973114305673,Low,Keep active
0ecce3ab5732f4e59b69,23599.25,4.495890410958904,-0.03078837747931018,66.36413979828669,High,Move to cold storage
0ecce3ab5732f4e59b69,25492.78125,4.495890410958904,-0.03863969440191217,68.40301100629235,High,Move to cold storage
0d1015cb878bbae8dbd1,248.4375,4.49041095890411,0.06134411796386119,42.43868956712467,Medium,Review file usage
0d1015cb878bbae8dbd1,1554.8046875,4.49041095890411,0.0885478433864354,35.37428329473127,Low,Keep active
0fdacd57705483539511,1008.54052734375,4.504109589041096,0.11458233372735255,28.613510128335406,Low,Keep active
0fdacd57705483539511,1888.99755859375,4.504109589041096,0.1236045930298566,26.270562454158437,Low,Keep active
0fdacd57705483539511,12.38671875,4.504109589041096,0.1469494711562193,20.208241911572586,Low,Keep active
0fdacd57705483539511,332.6015625,4.504109589041096,0.09996404199359699,32.409664890650575,Low,Keep active
a04111b7dab28890fd77,2149.8310546875,4.506849315068493,0.1204033438123166,27.101879661658174,Low,Keep active
a04111b7dab28890fd77,7021.69921875,4.506849315068493,0.15407486223051897,18.357882939901444,Low,Keep active
a04111b7dab28890fd77,7021.69921875,4.506849315068493,0.15407486223051897,18.357882939901444,Low,Keep active
a43c0421822cccc37d25,2255.87890625,4.50958904109589,0.1252627104556529,25.839973813771707,Low,Keep active
0a39f98109f317c6d706,8145.546875,4.495890410958904,0.10464647661259846,31.193705679964808,Low,Keep active
0e1c652240bf0125aa37,2208.77734375,4.50958904109589,0.11841524104911033,27.61816062731232,Low,Keep active
0e1c652240bf0125aa37,55.2333984375,4.50958904109589,0.11194376889617563,29.298706499565313,Low,Keep active
0e1c652240bf0125aa37,10125.51171875,4.50958904109589,0.13458033012962767,23.420325407308155,Low,Keep active
0e1c652240bf0125aa37,6109.6953125,4.50958904109589,0.15356756837956137,18.489619671065398,Low,Keep active
0e1c652240bf0125aa37,1485.58984375,4.50958904109589,0.11473576042112382,28.573667478808773,Low,Keep active
0e1c652240bf0125aa37,2149.47265625,4.50958904109589,0.1585585382612592,17.193538403154392,Low,Keep active
0e1c652240bf0125aa37,6549.0078125,4.50958904109589,0.15201401154910066,18.893055466977344,Low,Keep active
0e1c652240bf0125aa37,1498.6328125,4.50958904109589,0.11473576042112382,28.573667478808773,Low,Keep active
a0895dcba61c30e267f3,4942.6015625,4.506849315068493,0.0854325783587504,36.183271676281514,Low,Keep active
0f955b9a38c6ed2dba84,2578.9609375,4.487671232876712,0.0884607402500972,35.396902694579424,Low,Keep active
a40966e7dc91f1057ef3,6771.359375,4.504109589041096,0.06291125275014275,42.031727776343374,Medium,Review file usage
a19c1be0e7df95e3c8cf,4151.328125,4.487671232876712,0.11245321366194011,29.166411207549245,Low,Keep active
a19c1be0e7df95e3c8cf,11374.4453125,4.487671232876712,0.04563907169201653,46.51705845475438,Medium,Review file usage
a2097d6e635541d97853,2747.5224609375,4.50958904109589,0.12034673352404052,27.11658051859476,Low,Keep active
a339fc552a4acdcdc30f,705.59375,4.50958904109589,0.06527356673508466,41.418269675537154,Medium,Review file usage
a339fc552a4acdcdc30f,70.75,4.50958904109589,0.05361999104497661,44.444531407053354,Medium,Review file usage
a339fc552a4acdcdc30f,88.234375,4.50958904109589,0.07178674988602485,39.72689207228552,Low,Keep active
a339fc552a4acdcdc30f,171.43701171875,4.50958904109589,0.10718093678472496,30.535543753280876,Low,Keep active
a339fc552a4acdcdc30f,346.625,4.50958904109589,0.061904123575256875,42.29326436920541,Medium,Review file usage
a1d6dc637a38948d981f,186.33203125,4.512328767123288,0.0949173002979059,33.720229276093335,Low,Keep active
a1d6dc637a38948d981f,303.0,4.512328767123288,0.05947282228293549,42.9246374562643,Medium,Review file usage
a1d6dc637a38948d981f,866.826171875,4.512328767123288,0.09891683011079166,32.68161037159106,Low,Keep active
a1d6dc637a38948d981f,417.44140625,4.515068493150685,0.1431439784064092,21.19647225259044,Low,Keep active
a1d6dc637a38948d981f,237.453125,4.515068493150685,0.1439337577551068,20.99137820396001,Low,Keep active
a1d6dc637a38948d981f,341.19140625,4.512328767123288,0.10338094624487659,31.522345251522154,Low,Keep active
a1d6dc637a38948d981f,0.0078125,4.512328767123288,0.135131572609744,23.277175865337256,Low,Keep active
0d0efc4e8b3055876d09,1179.46875,4.473972602739726,0.05824734613189164,43.242875538498396,Medium,Review file usage
0d0efc4e8b3055876d09,1556.0,4.473972602739726,0.054492235489457475,44.21802238930177,Medium,Review file usage
0d0efc4e8b3055876d09,1670.25,4.473972602739726,0.03311478914938404,49.76942991406857,Medium,Review file usage
0d0efc4e8b3055876d09,6.25,4.473972602739726,0.04564248268039173,46.516172671381014,Medium,Review file usage
a1967381ced149d8c813,97.3125,4.50958904109589,-0.019737935104302773,63.494502893263956,High,Move to cold storage
a1967381ced149d8c813,1520.8125,4.50958904109589,-0.029310616441320936,65.98038705178945,High,Move to cold storage
a1967381ced149d8c813,501.6640625,4.50958904109589,0.014507827631396464,54.60138339161604,Medium,Review file usage
a14ff372aa86056ff147,2222.2587890625,4.495890410958904,0.12277591046558423,26.485759094101397,Low,Keep active
a014ed42175aa7ae5afb,4665.666015625,4.493150684931507,0.10460531387055144,31.204395036977076,Low,Keep active
00a268cce584f975df04,20881.65625,4.504109589041096,-0.027757788160753694,65.57714044953966,High,Move to cold storage
0b8bf3dbd6880c37118e,7271.099609375,4.487671232876712,0.10788378105447971,30.353025462471678,Low,Keep active
00bff05ea125ec3be296,4037.96875,4.50958904109589,0.11387334477725197,28.79762410200432,Low,Keep active
