SnapshotID,FileID,ParentDirectoryID,FileNameHash,FileExtension,FileType,Unknown,FileSize,AllocatedSize,Timestamp,ClusterSize,Attributes,Meta,FileDate,FileSizeMB,FileAgeYears
59709,0c23e9d0007322f4b9cf,2ccff29da8979966805f,a0baa5411c29136aaea8,2025263901,d,NTFS,2216931328,102536306688,127416364118420000,4096,459007,198,2004-10-07 15:26:51.842000008,2114.23046875,0.4410958904109589
59794,a2415c620c6e61fe3ac3,a70a15d06f1efacf6179,eb17bfe0ed80e9c43f34,-1944613439,c,NTFS,1611542528,14682091520,127423356399560000,4096,459007,198,2004-10-15 17:40:39.956000090,1536.88671875,0.4191780821917808
59795,a2415c620c6e61fe3ac3,a70a15d06f1efacf6179,53ac255fce32b76a6b55,-1664075513,d,NTFS,1356869632,5856366592,127423358345750000,4096,459007,198,2004-10-15 17:43:54.575000048,1294.01171875,0.4191780821917808
59863,a0136bfb9b4c33ba1ef6,d2c828184346265f5fc1,eb17bfe0ed80e9c43f34,746783425,c,NTFS,35623940096,60011610112,127423452731600000,4096,459007,198,2004-10-15 20:21:13.160000086,33973.63671875,0.4191780821917808
59866,0a9eac4b978cedef5d8c,92fc1c5697673ee8aa7d,eb17bfe0ed80e9c43f34,-457323306,c,NTFS,2573373440,39999500288,127426026993460000,4096,459007,198,2004-10-18 19:51:39.345999956,2454.16015625,0.410958904109589
59877,a3d19747936eae1a8d48,a001fa37b900e9e91da9,eb17bfe0ed80e9c43f34,1758105838,c,NTFS,36817391616,60003381248,127426743316980000,4096,459007,198,2004-10-19 15:45:31.697999954,35111.80078125,0.40821917808219177
59886,a0549a5a8dacbb7942ec,67c3717374c3b3546119,eb17bfe0ed80e9c43f34,-2001621553,c,NTFS,68868009984,79916818432,127420887736600000,4096,459007,198,2004-10-12 21:06:13.660000086,65677.65234375,0.4273972602739726
59895,0a90f8090b8aeb311e1e,0a90f8090b8aeb311e1e,a8a471aed14a9e3a2cd0,-1832264400,d,NTFS,16672931840,33542656000,127416416368660000,4096,459007,198,2004-10-07 16:53:56.865999937,15900.546875,0.4410958904109589
59896,0a90f8090b8aeb311e1e,0a90f8090b8aeb311e1e,92416a890ce68d34fb75,-1941087956,c,NTFS,20101873664,46448119808,127416414677240000,4096,459007,198,2004-10-07 16:51:07.723999977,19170.640625,0.4410958904109589
59973,0f2e164a6319c2425761,a6ef4c5460a864fc29fe,eb17bfe0ed80e9c43f34,2092507458,c,NTFS,1291440128,19995619328,127435024944800000,4096,459007,198,2004-10-29 05:48:14.480000019,1231.61328125,0.38082191780821917
60177,0a6f9898df9adbf6181d,9b8b74dfaa49048c44e1,eb17bfe0ed80e9c43f34,136727725,c,NTFS,6103953408,12584644608,127425870459150000,4096,459007,198,2004-10-18 15:30:45.914999962,5821.18359375,0.410958904109589
60178,0a6f9898df9adbf6181d,9b8b74dfaa49048c44e1,37e71d7394195650efe4,-1134093002,d,NTFS,16150093824,28517011456,127425870967170000,4096,459007,198,2004-10-18 15:31:36.717000008,15401.9296875,0.410958904109589
60179,0a6f9898df9adbf6181d,9c61a21daac9c4cf9765,eb17bfe0ed80e9c43f34,-656928626,c,NTFS,6139412480,10487197696,127425871048220000,4096,459007,198,2004-10-18 15:31:44.822000027,5855.0,0.410958904109589
60180,0a6f9898df9adbf6181d,9c61a21daac9c4cf9765,37e71d7394195650efe4,1689048593,d,NTFS,28585881600,30614491136,127425871305880000,4096,459007,198,2004-10-18 15:32:10.588000059,27261.62109375,0.410958904109589
60292,a3ecd0056331e522184a,91e0c1c8a5fc23c84320,eb17bfe0ed80e9c43f34,344196657,c,NTFS,9191268352,20003848192,127426072169430000,4096,459007,198,2004-10-18 21:06:56.943000078,8765.4765625,0.410958904109589
60293,a3ecd0056331e522184a,1e8caf1b24e60f1e7f57,eb17bfe0ed80e9c43f34,213129228,c,NTFS,146844725248,159989886976,127434437547380000,4096,459007,198,2004-10-28 13:29:14.737999916,140042.04296875,0.3835616438356164
60294,a27c7d016015e3fc2028,be3a2d4cafee47a64573,eb17bfe0ed80e9c43f34,1826547419,c,NTFS,17243987968,40015470592,127426025567260000,4096,459007,198,2004-10-18 19:49:16.726000071,16445.1484375,0.410958904109589
60313,a3a9664fbb22b54bcd50,52921559cc27c393da1b,eb17bfe0ed80e9c43f34,1216738532,c,NTFS,71105232896,119941029888,127425977150950000,4096,459007,198,2004-10-18 18:28:35.095000029,67811.234375,0.410958904109589
60322,a1d6dc637a38948d981f,39fb278241153d8bd43d,eb17bfe0ed80e9c43f34,82696794,d,NTFS,10379890688,48570277888,127415605189340000,4096,459007,198,2004-10-06 18:21:58.934000015,9899.03515625,0.4438356164383562
60323,a1d6dc637a38948d981f,39fb278241153d8bd43d,eb17bfe0ed80e9c43f34,-734391285,c,NTFS,14543802368,31453437952,127415602466650000,4096,459007,198,2004-10-06 18:17:26.664999962,13870.05078125,0.4438356164383562
60371,0afd621b1897e5040954,c542b3d99b8d52fbba59,eb17bfe0ed80e9c43f34,-2146306537,c,NTFS,47231741952,60003381248,127423452772780000,4096,459007,198,2004-10-15 20:21:17.278000116,45043.69921875,0.4191780821917808
60372,0afd621b1897e5040954,4e726a326521883ef1c0,eb17bfe0ed80e9c43f34,-1402674066,c,NTFS,15598813184,40978309120,127423421527040000,4096,459007,198,2004-10-15 19:29:12.703999996,14876.1875,0.4191780821917808
60412,0e26fd5c43ea210171cf,6635f7282ec65df66a22,eb17bfe0ed80e9c43f34,-529152405,c,NTFS,4013125632,20406886400,127415577602000000,4096,459007,198,2004-10-06 17:36:00.200000048,3827.21484375,0.4438356164383562
60427,a1967381ced149d8c813,a1967381ced149d8c813,eb17bfe0ed80e9c43f34,2027210331,c,NTFS,47873294336,60003381248,127416506636050000,4096,459007,198,2004-10-07 19:24:23.605000019,45655.53125,0.4410958904109589
60458,a014ed42175aa7ae5afb,f1ecebb3ce61e09f56db,eb17bfe0ed80e9c43f34,875861871,c,NTFS,7714975744,41159266304,127420709425370000,4096,459007,198,2004-10-12 16:09:02.536999941,7357.57421875,0.4273972602739726
60459,a014ed42175aa7ae5afb,5e1dad8b12f156033c9f,eb17bfe0ed80e9c43f34,1886745371,c,NTFS,25694789632,80040165376,127420712269620000,4096,459007,198,2004-10-12 16:13:46.961999893,24504.4609375,0.4273972602739726
60460,a014ed42175aa7ae5afb,8ca70aa37ba44a2485b3,eb17bfe0ed80e9c43f34,418256082,c,NTFS,11365740544,39999500288,127420709779540000,4096,459007,198,2004-10-12 16:09:37.953999996,10839.21484375,0.4273972602739726
60477,0a93be3a7b37f2df44c1,577ddb74ecd5e348d49a,eb17bfe0ed80e9c43f34,-1406031301,c,NTFS,14273216512,60003381248,127426053561070000,4096,459007,198,2004-10-18 20:35:56.107000113,13612.0,0.410958904109589
60643,0fc864369a54842b3e17,8782a0fd500035cdd40c,eb17bfe0ed80e9c43f34,-1064578689,c,NTFS,13719625728,39991275520,127421775849220000,4096,459007,198,2004-10-13 21:46:24.921999931,13084.0546875,0.4246575342465753
60693,0a8b4acf38adda88e760,406f62114ab09a022543,eb17bfe0ed80e9c43f34,-1125738893,c,NTFS,17903628288,39933730816,127426046528550000,4096,459007,198,2004-10-18 20:24:12.855000019,17074.23046875,0.410958904109589
60695,0b8bf3dbd6880c37118e,61d70f08950cdca9587d,eb17bfe0ed80e9c43f34,269859129,c,NTFS,20195164160,39933730816,127415543444240000,4096,459007,198,2004-10-06 16:39:04.424000025,19259.609375,0.4438356164383562
60775,0a15aeee2051cd67a05b,0a15aeee2051cd67a05b,eb17bfe0ed80e9c43f34,1551551590,c,NTFS,19683422208,39950184448,127415660269090000,4096,459007,198,2004-10-06 19:53:46.908999920,18771.57421875,0.4438356164383562
60782,a46d32d30633fee257a9,68c402be58608873711a,eb17bfe0ed80e9c43f34,-187835429,c,NTFS,5067403264,40978309120,127415664578860000,4096,459007,198,2004-10-06 20:00:57.885999918,4832.65234375,0.4438356164383562
60828,0dd6027739ce284a545b,0dd6027739ce284a545b,29a7e65f8ec47a95d463,-1803746051,c,NTFS,42517676032,146812989440,127425876426880000,4096,459007,198,2004-10-18 15:40:42.687999964,40548.015625,0.410958904109589
60829,0dd6027739ce284a545b,0dd6027739ce284a545b,53ac255fce32b76a6b55,-603640469,e,NTFS,655932416,945873920,127425890202870000,1024,459007,198,2004-10-18 16:03:40.286999941,625.5458984375,0.410958904109589
60830,0dd6027739ce284a545b,d8d5ca8b4aa1b484f8bc,eb17bfe0ed80e9c43f34,202170025,c,NTFS,98113941504,119932805120,127425876505990000,4096,459007,198,2004-10-18 15:40:50.598999977,93568.74609375,0.410958904109589
60867,0b05e7402ef12f3ecdca,3e8346b96e7acd355362,eb17bfe0ed80e9c43f34,-2077489936,c,NTFS,69663444992,80015491072,127421613183420000,4096,459007,198,2004-10-13 17:15:18.342000008,66436.23828125,0.4246575342465753
60875,0d95e1f6226fc16dc4ad,2d584bc0e4097dd6abf5,eb17bfe0ed80e9c43f34,-1863755747,c,NTFS,23974858752,39900831744,127420009777370000,4096,459007,198,2004-10-11 20:42:57.736999989,22864.20703125,0.4301369863013699
60881,a0c47d54b98135d3f093,250d4ecfcc983499bc2f,eb17bfe0ed80e9c43f34,1411114192,c,NTFS,24368697344,79933267968,127423448011380000,4096,459007,198,2004-10-15 20:13:21.138000011,23239.80078125,0.4191780821917808
60909,0b215ea4c7d09dec809d,0b215ea4c7d09dec809d,eb17bfe0ed80e9c43f34,-2009567686,c,NTFS,27455635456,39999500288,127465746437020000,4096,459007,198,2004-12-03 19:10:43.701999903,26183.734375,0.28493150684931506
60950,a0d3edccc6a71b5a7951,ceea62a1af959545670a,eb17bfe0ed80e9c43f34,-327035702,c,NTFS,6204792832,20398661632,127422572391880000,4096,459007,198,2004-10-14 19:53:59.187999964,5917.3515625,0.42191780821917807
60951,a0d3edccc6a71b5a7951,ceea62a1af959545670a,3d47e056a7ea0502349a,-1195369584,e,NTFS,33144725504,40015953920,127422573928850000,4096,459007,198,2004-10-14 19:56:32.884999990,31609.2734375,0.42191780821917807
60953,0ff8010e0e7585214ddd,6523ae743024d9b4e239,eb17bfe0ed80e9c43f34,-1863755747,c,NTFS,46364807168,59912937472,127426025994830000,4096,459007,198,2004-10-18 19:49:59.483000040,44216.92578125,0.410958904109589
60981,a49065630dd2a35215c2,c3e4a0a56d470ab09445,eb17bfe0ed80e9c43f34,14195388,c,NTFS,14403563520,30005788672,127426046026970000,4096,459007,198,2004-10-18 20:23:22.697000027,13736.30859375,0.410958904109589
60999,a4d76ad4e041eb161bd2,fac94d4acf270a282aef,eb17bfe0ed80e9c43f34,202323581,c,NTFS,11230158848,39999500288,127426056092660000,4096,459007,198,2004-10-18 20:40:09.266000032,10709.9140625,0.410958904109589
61028,0a43e9170e0a100962c2,474f2a766a8e9fb35518,c96f76009992e3059356,-1409213174,c,NTFS,3361918976,10799759360,127437299779980000,4096,459007,198,2004-10-31 20:59:37.997999907,3206.17578125,0.37534246575342467
61029,0a43e9170e0a100962c2,53018b4448f40f25281b,ab459dd96a8be11ff0bb,818554090,e,NTFS,66771001344,98966564864,127438097255790000,4096,459007,198,2004-11-01 19:08:45.578999996,63677.7890625,0.3726027397260274
61030,0a43e9170e0a100962c2,53018b4448f40f25281b,00852febcde2efb7c2cb,946917300,c,NTFS,1421828096,10487230464,127438097130950000,4096,459007,198,2004-11-01 19:08:33.095000029,1355.9609375,0.3726027397260274
61031,0a43e9170e0a100962c2,53018b4448f40f25281b,a49abbc24497443f2b05,-1735297674,d,NTFS,1226743808,10487230464,127438097139560000,4096,459007,198,2004-11-01 19:08:33.956000090,1169.9140625,0.3726027397260274
61049,a0b8f5487437e116fb01,ca1572668d48bededc6d,eb17bfe0ed80e9c43f34,-791391048,c,NTFS,28411428864,60003381248,127416507084360000,4096,459007,198,2004-10-07 19:25:08.436000109,27095.25,0.4410958904109589
61140,a154b8f4203b5d9cde4d,334f643a3e41e5de7934,ec139fa4f4449f46145c,-466167590,k,NTFS,4051365888,10207571968,127417435479850000,4096,459007,198,2004-10-08 21:12:27.984999895,3863.68359375,0.4383561643835616
61141,a154b8f4203b5d9cde4d,334f643a3e41e5de7934,c96f76009992e3059356,323817937,c,FAT32,1255030784,10197557248,127417434657800000,8192,6,198,2004-10-08 21:11:05.779999971,1196.890625,0.4383561643835616
61186,00d816765900cda47469,6192bc03f98fba50e4e4,eb17bfe0ed80e9c43f34,-1406031301,c,NTFS,20066709504,39999500288,127420737364980000,4096,459007,198,2004-10-12 16:55:36.497999907,19137.10546875,0.4273972602739726
61209,0d85c426cc45697cb7b4,1e8325c9b8613af36d95,eb17bfe0ed80e9c43f34,1745400010,c,NTFS,18027909120,20464463872,127420011114580000,4096,459007,198,2004-10-11 20:45:11.457999945,17192.75390625,0.4301369863013699
61210,0d85c426cc45697cb7b4,da1c5fe4afabad27caf8,a8a471aed14a9e3a2cd0,809560912,d,NTFS,47031209984,48537341952,127419888365680000,4096,459007,198,2004-10-11 17:20:36.568000078,44852.45703125,0.4301369863013699
61211,0d85c426cc45697cb7b4,da1c5fe4afabad27caf8,a8a471aed14a9e3a2cd0,-701016263,e,NTFS,14518820864,18202509312,127419888423580000,4096,459007,198,2004-10-11 17:20:42.358000040,13846.2265625,0.4301369863013699
61212,0d85c426cc45697cb7b4,da1c5fe4afabad27caf8,a8a471aed14a9e3a2cd0,-667987758,g,NTFS,19836030976,36413280256,127419888468680000,4096,459007,198,2004-10-11 17:20:46.868000031,18917.11328125,0.4301369863013699
61213,0d85c426cc45697cb7b4,da1c5fe4afabad27caf8,9c8e6d649efc32c273d7,1917668665,f,NTFS,17648508928,18210766848,127419888457130000,4096,459007,198,2004-10-11 17:20:45.713000059,16830.9296875,0.4301369863013699
61214,0d85c426cc45697cb7b4,da1c5fe4afabad27caf8,573f2548dbe7b6e8a469,1481074240,c,NTFS,20724973568,31453437952,127419888067310000,4096,459007,198,2004-10-11 17:20:06.730999947,19764.875,0.4301369863013699
61215,0d85c426cc45697cb7b4,2013a419102c0e718e8d,eb17bfe0ed80e9c43f34,742513105,c,NTFS,8837255168,15730573312,127420009928050000,4096,459007,198,2004-10-11 20:43:12.805000067,8427.86328125,0.4301369863013699
61254,a09bb6f71bf40dddd3c9,2c3ff679694f60bed24f,eb17bfe0ed80e9c43f34,277457743,d,NTFS,8322625536,13966491648,127417289552510000,4096,459007,198,2004-10-08 17:09:15.250999927,7937.07421875,0.4383561643835616
